,path,D_IMRANG,FILTER01,OBS-MOD,RET-POS1,U_FLC,GAIN,EXPTIME,diff,diff_std,sum,sum_std
1089,/mnt/userdata/mlucas/20230914_hwp_calib/data/diff/vsync_22:49:43.033140.cam1.A_collapsed_diff.fits,70.0,775-50,IPOL,135.0,A,0.105,0.0471744,-226.0,156.19977,6845.0,263.18347
981,/mnt/userdata/mlucas/20230914_hwp_calib/data/diff/vsync_23:36:11.556891.cam1.A_collapsed_diff.fits,70.0,Open,IPOL_MBI,135.0,A,0.105,0.0962496,[6274.5 3228.5 2263.   362. ],[281.14949904 403.59001212 279.05682743 151.67401093],[21018.  29035.5 13262.   3741.5],[687.22678612 680.77404974 314.52172562 103.42672935]
698,/mnt/userdata/mlucas/20230914_hwp_calib/data/diff/vsync_22:19:19.817352.cam1.B_collapsed_diff.fits,70.0,Open,IPOL,135.0,B,0.105,0.0471744,-10038.0,355.49658,33459.0,1125.8105
97,/mnt/userdata/mlucas/20230914_hwp_calib/data/diff/vsync_22:25:48.935221.cam1.B_collapsed_diff.fits,70.0,625-50,IPOL,135.0,B,0.105,0.0471744,-806.5,68.02177,1789.0,82.87764
875,/mnt/userdata/mlucas/20230914_hwp_calib/data/diff/vsync_22:33:34.343020.cam1.B_collapsed_diff.fits,70.0,675-50,IPOL,135.0,B,0.105,0.0471744,543.0,178.99825,7364.0,277.40295
798,/mnt/userdata/mlucas/20230914_hwp_calib/data/diff/vsync_22:37:50.623467.cam1.B_collapsed_diff.fits,70.0,725-50,IPOL,135.0,B,0.105,0.0471744,807.0,292.6267,14049.0,502.64374
480,/mnt/userdata/mlucas/20230914_hwp_calib/data/diff/vsync_22:45:34.750398.cam1.B_collapsed_diff.fits,70.0,750-50,IPOL,135.0,B,0.105,0.0471744,-1093.0,267.4539,14375.0,501.12918
354,/mnt/userdata/mlucas/20230914_hwp_calib/data/diff/vsync_22:49:43.033140.cam1.B_collapsed_diff.fits,70.0,775-50,IPOL,135.0,B,0.105,0.0471744,-1976.0,128.72238,6829.0,251.14682
107,/mnt/userdata/mlucas/20230914_hwp_calib/data/diff/vsync_23:36:11.556891.cam1.B_collapsed_diff.fits,70.0,Open,IPOL_MBI,135.0,B,0.105,0.0962496,[-8246.5 -7470.  -2753.   -198.5],[246.7825504  415.44380701 268.94758806 115.73948117],[20659.5 29438.5 13689.5  3859. ],[702.00106928 754.66779352 365.200989   105.25799316]
515,/mnt/userdata/mlucas/20230914_hwp_calib/data/diff/vsync_22:21:07.363585.cam1.A_collapsed_diff.fits,107.5,Open,IPOL,135.0,A,0.105,0.0471744,12954.0,744.3703,33641.0,1081.5735
652,/mnt/userdata/mlucas/20230914_hwp_calib/data/diff/vsync_22:27:37.309021.cam1.A_collapsed_diff.fits,107.5,625-50,IPOL,135.0,A,0.105,0.0471744,767.0,62.358242,1740.0,75.55362
548,/mnt/userdata/mlucas/20230914_hwp_calib/data/diff/vsync_22:31:45.461969.cam1.A_collapsed_diff.fits,107.5,675-50,IPOL,135.0,A,0.105,0.0471744,3256.0,186.85165,7482.0,219.98938
357,/mnt/userdata/mlucas/20230914_hwp_calib/data/diff/vsync_22:39:37.884161.cam1.A_collapsed_diff.fits,107.5,725-50,IPOL,135.0,A,0.105,0.0471744,5412.0,333.8718,14131.0,468.9767
621,/mnt/userdata/mlucas/20230914_hwp_calib/data/diff/vsync_22:43:46.346524.cam1.A_collapsed_diff.fits,107.5,750-50,IPOL,135.0,A,0.105,0.0471744,6640.0,371.6351,15120.0,510.08017
35,/mnt/userdata/mlucas/20230914_hwp_calib/data/diff/vsync_22:51:30.626418.cam1.A_collapsed_diff.fits,107.5,775-50,IPOL,135.0,A,0.105,0.0471744,4011.0,247.06471,8193.0,278.94974
